name,category,ingredient_number,ingredient,amount
Woodstock,Gin,3,Maple Syrup,1.5
Woodstock,Gin,4,Orange Bitters,0.02
Wolf's Bite,Gin,1,Gin,1.5
Wolf's Bite,Gin,2,Grapefruit Juice,1
Wolf's Bite,Gin,3,Green Chartreuse,0.5
Barbary Coast Cocktail,Cocktail Classics,1,Old Mr. Boston Dry Gin,0.5
Barbary Coast Cocktail,Cocktail Classics,2,Old Mr. Boston Rum,0.5
Barbary Coast Cocktail,Cocktail Classics,3,Old Mr. Boston Creme de Cacao,0.5
Barbary Coast Cocktail,Cocktail Classics,4,Desmond & Duff Scotch Whisky,0.5
Barbary Coast Cocktail,Cocktail Classics,5,Sweet Cream,0.5
The Winkle,Gin,1,Fresh sage leaves,3
The Winkle,Gin,2,Gin,2
The Winkle,Gin,3,Fresh Lime Juice,1
The Winkle,Gin,4,Limoncello,0.5
The Winkle,Gin,5,Simple Syrup,0.5
The Winkle,Gin,6,"Raspberries, lemon twist",4
The Wink,Gin,1,Absinthe,0.1
The Wink,Gin,2,Gin,2
The Wink,Gin,3,Triple Sec,0.25
The Wink,Gin,4,Simple Syrup,0.25
The Wink,Gin,5,Peychaud's Bitters,0.04
Will Rogers,Gin,1,Gin,1.5
Will Rogers,Gin,2,Dry Vermouth,0.5
Will Rogers,Gin,3,Orange juice,0.5
Will Rogers,Gin,4,Triple Sec,1
Brandy Vermouth Cocktail,Brandy,1,Brandy,2
Brandy Vermouth Cocktail,Brandy,2,Sweet Vermouth,0.5
Brandy Vermouth Cocktail,Brandy,3,Angostura Bitters,0.02
White Spider,Gin,1,Gin,1
White Spider,Gin,2,Fresh lemon juice,0.75
White Spider,Gin,3,Triple Sec,0.5
White Spider,Gin,4,Simple Syrup,0.25
White Lady,Gin,1,Gin,1.5
White Lady,Gin,2,Triple Sec,0.75
Western Rose,Gin,1,Gin,1
Western Rose,Gin,2,Dry Vermouth,0.5
Western Rose,Gin,3,Apricot-Flavored Brandy,0.5
Western Rose,Gin,4,Fresh lemon juice,1
May Blosson Fizz,Cocktail Classics,1,Grenadine,1
May Blosson Fizz,Cocktail Classics,2,Juice of a Lemon,0.5
May Blosson Fizz,Cocktail Classics,3,Swedish Punch,2
Wembly Cocktail,Gin,1,Gin,1.5
Wembly Cocktail,Gin,2,Dry Vermouth,0.75
Wembly Cocktail,Gin,3,Apple Brandy,0.5
Wembly Cocktail,Gin,4,Apricot-Flavored Brandy,0.5
Apple Pie Cocktail,Cocktail Classics,1,Old Mr. Boston Rum,0.75
Apple Pie Cocktail,Cocktail Classics,2,Sweet Vermouth,0.75
Apple Pie Cocktail,Cocktail Classics,3,Apple Flavored Brandy,1
Apple Pie Cocktail,Cocktail Classics,4,Grenadine,0.5
Apple Pie Cocktail,Cocktail Classics,5,Lemon Juice,1
Water Lily,Gin,1,Gin,0.75
Water Lily,Gin,2,Triple Sec,0.75
Water Lily,Gin,3,Creme de violette,0.75
Water Lily,Gin,4,Fresh lemon juice,0.75
Wallis Blue Cocktail,Gin,1,"Lime wedge, superfine sugar",NA
Wallis Blue Cocktail,Gin,2,Gin,1
Wallis Blue Cocktail,Gin,3,Triple Sec,1
Wallis Blue Cocktail,Gin,4,Fresh Lime Juice,1
Minnehaha Cocktail,Cocktail Classics,1,Juice of Orange,0.25
Minnehaha Cocktail,Cocktail Classics,2,Dry Vermouth,0.5
Minnehaha Cocktail,Cocktail Classics,3,Sweet Vermouth,0.5
Minnehaha Cocktail,Cocktail Classics,4,Old Mr. Boston Dry Gin,1
Wallick Cocktail,Gin,1,Gin,1.5
Wallick Cocktail,Gin,2,Dry Vermouth,1.5
Wallick Cocktail,Gin,3,Triple Sec,1
Waikiki Beachcomber,Gin,1,Gin,0.75
Waikiki Beachcomber,Gin,2,Triple Sec,0.75
Waikiki Beachcomber,Gin,3,Pineapple Juice,0.5
Vow Of Silence,Gin,1,Gin,1.5
Vow Of Silence,Gin,2,Grapefruit Juice,0.75
Vow Of Silence,Gin,3,Fresh Lime Juice,0.5
Vow Of Silence,Gin,4,Yellow Chartreuse,0.5
Vow Of Silence,Gin,5,Amaro,0.25
Vow Of Silence,Gin,6,Simple Syrup,0.25
